name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Onero Solutions,"APL Tower, Central Park, Podomoro City, Letjen S. Parman St No.Kav 28 Lantai 16 Unit T9, Grogol petamburan, West Jakarta City, Jakarta 11470",onero.id,Yes,0811-9006-551,9,4.6
CV. FAD TEKNIK,"JL. Dr. Susilo Raya No.17, RT.1/RW.3, Grogol, Jakarta Barat, DKI Jakarta, Daerah Khusus Ibukota Jakarta 11450",,,(021) 5657175,1,1.0
PT. Fransari Tirta,"Kompleks Kota Grogol Permai Jl. Prof. Dr. Latumeten No.14, RT.1/RW.7, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,,(021) 5600616,5,5.0
PT. KALIMUTU MITRA PERKASA,,kalimutu.com,Yes,(021) 56960197,14,4.7
Activo Asset Management Solutions,"APL Tower 26th floor, Central Park Jalan Letjen S. Parman, RT.16/RW.5, Tanjung Duren Selatan, Grogol petamburan, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 29339528,6,5.0
PT. Energi Partner Indo,,ep-id.com,Yes,(021) 75683062,,
Simtex Mechatronic Indojaya. PT,"JL. Latumenten Raya, No. 18, Komplek Grogol Permai Blok H No. 18, RT.1/RW.7, Grogol, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,No,(021) 5648388,14,5.0
Rajabarcode Workshop,"Jl. Hemat 1 No.11A 9, RT.9/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,,(021) 29502500,16,4.8
PT. Boxindah Gala Sejati,"Jl. Penerangan II No.9A 2, RT.2/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,,(021) 56940464,7,3.3
PT Gigan Solusi Teknologi,"APL Tower, Jl. Jelambar Barat No.28 7th Floor Unit T9, RT.13/RW.7, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 39516656,,
pt. Mitra Express Jayawarna percetakan offset dan digital,"Dokter Makaliwe Raya No. 40 D, Grogol, Grogol petamburan, RT.2/RW.5, Grogol, Kec. Grogol petamburan, West Jakarta City, Daerah Khusus Ibukota Jakarta 11450",,,0811-8785-858,4,4.8
Cairan Anti Api AF21Y Grogol,"Jalan Rasa Sayang Blok E no 19 Pesing Grogol Jakarta Barat RT.1, RT.1/RW.8, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0813-8178-2345,1,5.0
Harnods,"APL Office Tower, 16th floor Suite 9 Podomoro City (Central Park) Jl. Let. Jend. S. Parman Kav 28 Jakarta 11470, RT.9/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0878-8085-1479,4,5.0
PT.FiberHome Technologies Indonesia,"APL Tower, Jakarta Barat, Lt.30, RT.12/RW.6, Grogol, Grogol petamburan, West Jakarta City, Jakarta 11440",,No,,52,3.6
Treetea Office,,,No,0851-7244-0043,,
Bengkel Makmur Oil,"Jl. Hadiah 2 No.17, RT.13/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,,,2,4.5
PT Indonesia Solusi Kreatif,"Jl. Prof. Dr. Latumenten No. 19 Perkantoran Kota Grogol Permai, Bl. Bl No.3, RT.1/RW.7, Jelambar, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,No,(021) 5600660,1,5.0
Ary'a Grafisindo,"Jl. Muwardi No.25B, RT.11/RW.3, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,,0813-1654-5902,,
Anugrah Cahaya Engineering. PT,"Jl. Hadiah III Blok D14 No.1190C, RT.2/RW.1, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,No,(021) 56972132,4,1.0
Limadata Indonesia,,,No,0813-8490-0701,,
PT. Soltius Indonesia,"Soho Capital @Podomoro City 15th Floor Suite SC - 1503-05 Jl. Letjen. S.Parman, Kav. 28 - Tanjung Duren Selatan, Grogol petamburan, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 29345925,52,4.8
PT.Mukti Indo Utama,"Jl. Muwardi No.16 9, RT.9/RW.3, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,,(021) 5670183,30,4.6
Jakarta Maju Agung Perkasa. PT,"Jl. Tanjung Duren Raya No.15 6, RT.1/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5688576,3,5.0
TOYS FACTORY COMPANY MANUFACTURER,"Jl. Rw. Kepa I No.607 5, RT.5/RW.15, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,(021) 5605207,14,4.9
Qubick Stuido,,,No,0812-4981-9182,,
Simple and Reliable Soffware,"Jl. Hadiah Utama 3C No.1319, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,No,0877-8808-5888,,
