name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Sablon Plastik & Tas Kain,"Jl. Kramat Sawah 13 No.E37, RT.5/RW.2, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,081298,,
Smart Toilet ( Public Toilet,"Jl. Salemba Raya No.41, RT.3/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,,,
General Teknik,"Jl. Kenari I No.53 4, RT.4/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0813-1704-8557,2,5.0
Toko KOLON,"Jl. Kramat Raya. No. 101, Plaza Kenari Mas, Lantai 1, RT.16/RW.1, Paseban, Jakarta, Central Jakarta City, Jakarta 10440",,,(021) 39842840,,
"Datasystem Solusindo, PT.","Jl. Salemba Tengah No.20b, RT.1/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 29922422,5,5.0
Lapis Jakarta Lenongku,"RRGV+CHJ, Stasiun Pasar Senen, Jl. Pasar Senen, RW.3, Senen, Central Jakarta City, Jakarta 10410",,,0812-1256-5799,156,4.4
Shafir Jaya,"Pasar Kenari Lama, Lantai 1, Aks, No. 50 & 71, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,,(021) 3911288,1,5.0
Gemeinschaft Salemba,"Jl. Salemba Raya No.49 4, RT.4/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0858-9006-2175,1,5.0
Nimbus9,"Vinilon Building, Jl. Raden Saleh Raya No.Kav. 13-17 Lantai Basement, RT.1/RW.2, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,No,(0296) 19712,,
Garuda Makmur Tehnik,,,,0852-8816-033,,
Ucok Photo Copy,"Jl. Salemba Tengah III No.RT.6, RT.10/RW.4, Paseban, Kec. Senen, Jakarta, Daerah Khusus Ibukota Jakarta 10440",,,0813-8919-6528,1,5.0
BARDI Smart Home,"Plaza Kenari mas lt 3 blok i 27, Jl. Kramat Raya No.101, Paseban, Daerah Khusus Ibukota Jakarta 10440",,No,0817-717-614,499,4.9
Gunung Sari UD,"Jalan Salemba Raya No.2, RT.9/RW.5, Kenari, Senen, Kenari Baru Ground Floor Blok C no. 9, RT.9/RW.5, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 3914460,,
Refilling apar trijaya,"RR4X+W4H, Kenari, Senen, Central Jakarta City, Jakarta",,,0818-8280-4172,,
PT.Mitra Makmur Sahabat Plaza Kenari Mas,"Kenari Mas Pusat Lt.LG Blok B NO.138, Jl. Kramat Raya No.101 18, RT.18/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 53667669,47,5.0
sneakers.kawula,"Jl. Murtado 13 No.263A, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0812-1929-1421,3,5.0
SB SENEN,"Jl. Kembang Sepatu los 28-B, Senen, Jakarta Pusat, RT.9/RW.1, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,,(021) 31901343,30,4.8
Zabir Comp,"Plaza Kenari Mas, Jl. Kramat Raya No.93, RT.15/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0812-9613-2433,3,3.7
Cakra Kiran,"Jalan Salemba Raya, Gedung Kenari Lama AKS 116, Lantai Dasar, RT.1/RW.3, Kenari, Jakarta, Indonesia, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,(021) 31901582,,
ADILUC Shop,"Jalan Kramat Raya No. 101, Paseban, Senen,, Plaza Kenari Mas, Lantai LG, Blok B121, RT.15/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,(021) 29478974,1,4.0
Alifa IT Mart,"RR4X+F5P, RT.1/RW.5, Kenari, Senen, Central Jakarta City, Jakarta 10430",,,0812-8817-9798,1,5.0
Farra Eye Model,,,,0815-8421-9690,,
Sakura Bengawan Solo,"Jl. Kramat Raya No.61A 8, RT.8/RW.8, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,,(021) 3147876,1,3.0
Ubi Cilembu Madu UBIKU - Indonesia Honey Sweet Potato Supplier,"Jl. Paseban Raya No.37 1, RT.1/RW.2, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0813-1001-2280,4,5.0
