name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Studio Mangga MNC Tanjung Duren,"Blok C, Jl. Mangga Raya Blok I No.6, RT.8/RW.8, Duri Kepa, Kebonjeruk, West Jakarta City, Jakarta 11510",,,,22,4.5
MobileCom,"SOHO Podomoro City Type Ebony floor 37 unit 20, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 29670633,26,4.5
SASCREATIVE Media,"Jl. Tanjung Duren, Grogol Petamburan Apt. Mediterania Garden Residence II Tower F Unit Q, RT.9/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",adytiawong.com,Yes,0812-8887-6548,,
Pemmz.Com,"Jl. Tanjung Duren Raya no. 17A, Blok A11 Kav.16, RT.01/RW.06, Tanjung Duren, RT.1/RW.6, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",pemmz.com,Yes,(021) 56973669,1929,4.8
Depo Air Minum Biru Tanjung Duren,"Jl. Tj. Duren Bar. 2 No.12, RT.6/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,,3,5.0
Excenture Global Indonesia. PT,"Jl. Delima Raya No.25 2, RT.2/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 28881149,3,5.0
Bengkel las kamajaya,"Gg. Alpukat XII No.77, RT.3/RW.47, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0821-4474-6447,,
PT. Soltius Indonesia,"Soho Capital @Podomoro City 15th Floor Suite SC - 1503-05 Jl. Letjen. S.Parman, Kav. 28 - Tanjung Duren Selatan, Grogol petamburan, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 29345925,52,4.8
Ganesha Cipta Informatika,,,No,(021) 5609434,,
King laundry tanjung duren,"Jl. Tanjung Duren Raya No.7F, RT.4/RW.2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0811-1616-732,3,3.7
TANJUNG DUREN UTARA.PT,"RQ8M+42R, RT.15/RW.7, North Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,,,1,5.0
PT. Kinerja Prima Nusantara,"Mediterania Tower Dahlia Lt. 25 KH, Jl. Tanjung Duren Timur No.9 15 5, RT.15/RW.5, Daerah Khusus Ibukota Jakarta",,,,,
Limadata Indonesia,,,No,0813-8490-0701,,
Chi Cong Fan 89,"Jl. Salak Timur 4 No.8, RT.3/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",linktr.ee,Yes,0821-2495-1789,1,1.0
Cincau Capital,"Jl. Tj. Duren Utara 4 No.452, RT.4/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0819-0553-5550,,
Pentas Berlian Bersama,"Jl. Taman Bendungan Asahan 10-11 Tanjung Duren Selatan Grogol Petamburan Jakarta Barat DKI Jakarta, RT.7/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",,,(021) 5731682,,
