name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Jembatan Emas Buana. PT,"Jl. Batuceper No. No.7 A, RT.7/RW.3, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 3455302,,
IP Network Solusindo,"Jl. Majapahit 26 P&R, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3501107,32,4.5
PERKOSMI,"Apartemen Istana Harmoni, GF - Unit 1C, JL. Suryopranoto, No. 2 Utara Gambir RT.2, RT.2/RW.8, Petojo Utara, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,No,(021) 63857298,2,3.0
Jasatama Sarana Sakti. PT,"Jl. Biak No.7P, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,(021) 6326275,,
PT. Challenger Superstore Indonesia,"Jl. Kh. Hasyim Ashari Dlm No.2 314655, RT.2/RW.8, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,(021) 63862770,,
PT.KHARINDO PRAKARSA,"Jl. Majapahit No. 34/4 RT:14, RT.14/RW.:008, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3809484,9,4.6
Head Office JuraganMaterial.id,"Jl. Cideng Timur No.66 2nd floor, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",juraganmaterial.id,Yes,(021) 3857057,16,4.8
Hasta,"Jl. KH. Hasyim Ashari No.116 7, RT.1/RW.5, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,(021) 63858225,,
Iglobal Teknologi Solusindo,"Jl. Gajah Mada No.1 2, RT.2/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,,(021) 63870060,1,4.0
PT. Digitec Jaya Indonesia,"Jl. Majapahit No.103-104 Blok C, RT.14/RW.8, South Petojo, Gambir, Central Jakarta City, Jakarta 10160",,No,(021) 3853190,9,4.9
